,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.9907407407407407,0.9385964912280702,0.9639639639639639,114,"[('manufacturer', 1)]","[('location', 3), ('name', 2), ('position', 1), ('code', 1)]"
1,affiliate,0.0,0.0,0.0,1,"[('type', 1), ('classification', 1)]","[('class', 1)]"
2,affiliation,1.0,0.9743589743589743,0.9870129870129869,39,[],"[('city', 1)]"
3,age,0.9855907780979827,0.9846449136276392,0.985117618819011,1042,"[('rank', 5), ('weight', 4), ('plays', 2), ('position', 1), ('category', 1)]","[('rank', 5), ('name', 2), ('state', 2), ('type', 2), ('artist', 2)]"
4,album,0.9326923076923077,0.9635761589403974,0.9478827361563519,302,"[('name', 6), ('artist', 4), ('type', 3), ('team', 1), ('region', 1)]","[('artist', 4), ('team', 1), ('publisher', 1), ('symbol', 1), ('name', 1)]"
5,area,0.5833333333333334,0.7,0.6363636363636365,10,"[('name', 2), ('plays', 1), ('region', 1), ('range', 1)]","[('rank', 1), ('class', 1), ('range', 1)]"
6,artist,0.9099099099099099,0.9409937888198758,0.9251908396946565,322,"[('name', 10), ('album', 4), ('company', 2), ('creator', 2), ('owner', 2)]","[('name', 10), ('album', 4), ('class', 2), ('credit', 1), ('city', 1)]"
7,birthDate,1.0,1.0,1.0,10,[],[]
8,birthPlace,0.8333333333333334,0.9090909090909091,0.8695652173913043,11,"[('city', 1), ('status', 1)]","[('notes', 1)]"
9,brand,0.8888888888888888,0.7272727272727273,0.7999999999999999,11,"[('service', 1)]","[('team', 1), ('company', 1), ('type', 1)]"
10,capacity,0.4,0.6666666666666666,0.5,3,"[('state', 2), ('city', 1)]","[('notes', 1)]"
