,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
50,order,0.4,0.13333333333333333,0.2,15,"[('rank', 2), ('description', 1)]","[('notes', 8), ('rank', 2), ('type', 1), ('weight', 1), ('class', 1)]"
51,origin,0.875,0.875,0.875,8,"[('description', 1)]","[('weight', 1)]"
52,owner,0.7727272727272727,0.68,0.7234042553191491,25,"[('range', 3), ('description', 1), ('operator', 1)]","[('artist', 2), ('name', 2), ('notes', 1), ('jockey', 1), ('manufacturer', 1)]"
53,person,0.0,0.0,0.0,3,[],"[('name', 2), ('album', 1)]"
54,plays,0.8666666666666667,0.5652173913043478,0.6842105263157895,23,"[('age', 1), ('rank', 1)]","[('rank', 7), ('age', 3)]"
55,position,0.9283276450511946,0.9006622516556292,0.9142857142857144,302,"[('rank', 17), ('type', 2), ('result', 1), ('ranking', 1)]","[('rank', 11), ('age', 5), ('class', 5), ('category', 2), ('team', 2)]"
56,product,1.0,0.7222222222222222,0.8387096774193548,18,[],"[('type', 1), ('name', 1), ('code', 1), ('manufacturer', 1), ('depth', 1)]"
57,publisher,0.75,0.9130434782608695,0.8235294117647057,23,"[('name', 2), ('location', 1), ('album', 1), ('description', 1), ('type', 1)]","[('club', 1), ('category', 1)]"
58,range,0.9090909090909091,0.625,0.7407407407407406,16,"[('area', 1)]","[('owner', 3), ('weight', 1), ('age', 1), ('rank', 1)]"
59,rank,0.9065108514190318,0.8660287081339713,0.8858075040783034,627,"[('position', 11), ('plays', 7), ('elevation', 7), ('age', 5), ('area', 3)]","[('age', 28), ('position', 17), ('region', 10), ('notes', 8), ('weight', 5)]"
60,ranking,0.0,0.0,0.0,4,[],"[('rank', 2), ('result', 1), ('position', 1)]"
61,region,0.7222222222222222,0.6842105263157895,0.7027027027027027,38,"[('rank', 10)]","[('city', 6), ('album', 1), ('team', 1), ('state', 1), ('area', 1)]"
62,requirement,1.0,0.3333333333333333,0.5,3,[],"[('description', 2)]"
63,result,0.9760956175298805,0.9683794466403162,0.9722222222222222,253,"[('name', 2), ('ranking', 1), ('sales', 1), ('address', 1), ('weight', 1)]","[('notes', 4), ('position', 1), ('type', 1), ('class', 1), ('status', 1)]"
64,sales,0.0,0.0,0.0,5,[],"[('rank', 3), ('result', 1), ('duration', 1)]"
65,service,1.0,0.25,0.4,4,[],"[('type', 1), ('brand', 1), ('name', 1)]"
66,sex,0.9552238805970149,1.0,0.9770992366412213,64,"[('gender', 3)]",[]
67,species,0.8,0.5,0.6153846153846154,8,"[('name', 1)]","[('name', 2), ('notes', 1), ('album', 1)]"
68,state,0.9803149606299213,0.9701298701298702,0.9751958224543081,770,"[('city', 4), ('location', 2), ('club', 2), ('teamName', 2), ('name', 1)]","[('notes', 6), ('city', 5), ('capacity', 4), ('class', 3), ('category', 2)]"
69,status,0.9838709677419355,0.9682539682539683,0.976,693,"[('name', 2), ('type', 2), ('location', 1), ('classification', 1), ('position', 1)]","[('type', 6), ('notes', 5), ('class', 4), ('category', 2), ('name', 1)]"
70,symbol,0.9583333333333334,0.9698795180722891,0.9640718562874252,166,"[('code', 6), ('album', 1)]","[('county', 1), ('class', 1), ('team', 1), ('notes', 1), ('club', 1)]"
71,team,0.9038461538461539,0.9431438127090301,0.923076923076923,598,"[('teamName', 14), ('country', 9), ('location', 7), ('name', 6), ('club', 4)]","[('country', 15), ('city', 7), ('type', 3), ('album', 2), ('artist', 2)]"
72,teamName,1.0,0.47058823529411764,0.6399999999999999,51,[],"[('team', 14), ('city', 4), ('notes', 2), ('state', 2), ('type', 1)]"
73,type,0.8747913188647746,0.8384,0.8562091503267973,625,"[('notes', 17), ('class', 9), ('status', 6), ('name', 5), ('category', 5)]","[('class', 44), ('notes', 29), ('weight', 7), ('category', 5), ('position', 2)]"
74,weight,0.9518900343642611,0.9601386481802426,0.9559965487489214,577,"[('type', 7), ('description', 5), ('rank', 5), ('notes', 4), ('range', 1)]","[('notes', 10), ('age', 8), ('rank', 2), ('capacity', 1), ('result', 1)]"
75,year,0.9877488514548239,0.9877488514548239,0.9877488514548239,653,"[('elevation', 3), ('class', 2), ('location', 1), ('rank', 1), ('day', 1)]","[('rank', 3), ('class', 2), ('type', 1), ('location', 1), ('state', 1)]"
